name,price_eur,display_inch,display_cm,display_resolution,display_ratio,weight_kg,height_mm,width_mm,depth_mm,operating_system,cpu_processor,ram_memory,gpu_integrated,gpu_extra,internal_storage_gb,storage_type,battery_life_h,battery_capacity_wh,psu_watts,audio_system,speakers_count,has_touchscreen,keyboard_backlit,keyboard_numpad,has_webcam,has_bluetooth,bluetooth_version,wifi_standard,product_ean,product_sku,release_year,category
"Samsung Galaxy Book3 360 39,60cm 15,6Zoll i51340P 8GB 512GB SSD Intel Iris X W11H Graphite",1560.24,6,39.6,1920x1080,-,1.46,13.7,355.4,228,Windows 11 Home,i51340P,8,Intel Iris Xe Graphics,-,512,SSD,-,68,65,Dolby Atmos,2,TRUE,TRUE,TRUE,TRUE,TRUE,5.1,WiFi 6E (802.11ax),8.81E+12,NP750QFGKA3DE,2023,Notebooks
Apple Macbook Air 13 M2 CHIP 8C/8C 16GB RAM 512GB 67W space grey,1859.71,13,34.5,2560x1664,-,1.24,11.3,304.1,215,macOS Monterey,M2,16,Apple GPU,-,512,SSD,-,52.6,67,-,4,FALSE,TRUE,FALSE,TRUE,TRUE,5,WiFi 6 (802.11ax),4.07E+12,Z15SGR45,2022,Notebooks
Acer Nitro 5 Notebook AN5155650HK,971.05,15.6,39.6,1920x1080,16:09,2.3,23.9,363.4,255,Windows 10 Home,Intel,8,Intel Iris Xe Graphics,NVIDIA GeForce RTX 3050,512,SSD,-,57.5,135,-,2,FALSE,TRUE,TRUE,TRUE,TRUE,-,WiFi 6 (802.11ax),4.71E+12,NH.QANEV.002,-,Notebooks
Fujitsu LIFEBOOK U7412 FHD i71270P vpro 2x16GB 1TB 5G pal W11P,2386.35,14,35.6,1920x1080,-,-,18.9,322,211,Windows 11 Pro,i71270P,32,Intel Iris Xe Graphics,-,1,SSD,-,60,65,-,-,FALSE,FALSE,FALSE,TRUE,TRUE,5.2,WiFi 6E (802.11ax),4.07E+12,VFY:U7412MF7HMDE,-,Notebooks
"Microsoft Surface R7/8/256 W10P, schwarz",1514.3,15,38.1,2496x1664,3:02,1.54,14.7,339.5,224,Windows 10 Pro,4980U,8,AMD Radeon Graphics,-,256,SSD,17.5,-,65,Dolby Atmos,2,TRUE,TRUE,FALSE,TRUE,TRUE,5,WiFi 6 (802.11ax),-,5V800005,2021,Notebooks
"MSI Creator Z17 A12UHT053, i912900H/32GB/2TB SSD/RTX3080 W11P",4248.97,17,43.2,2560x1600,-,2.49,19,382,260,Windows 11 Pro,i912900H,32,Intel Iris Xe Graphics,NVIDIA GeForce RTX 3080,2000,SSD,-,90,240,-,4,TRUE,TRUE,TRUE,TRUE,TRUE,5.2,WiFi 6E (802.11ax),4.72E+12,0017N1053,-,Notebooks
Acer Chromebook 314 C933LP8WA schwarz (NX.HS4EG.001,625.18,14,35.6,1920x1080,16:09,1.7,19.7,325.4,232,Chrome OS,N5030,8,Intel® UHD Graphics 605,-,64,Flash,12.3,48,45,-,2,TRUE,FALSE,FALSE,TRUE,TRUE,5,WiFi 5 (802.11ac),4.71E+12,NX.HS4EG.001,-,Notebooks
Apple Macbook Air 13 M2 CHIP 8C/8C 16GB RAM 256GB 30W STARLIGHT,1598.37,13,34.5,2560x1664,-,1.24,11.3,304.1,215,macOS Monterey,M2,16,Apple GPU,-,256,SSD,-,52.6,30,-,4,FALSE,TRUE,FALSE,TRUE,TRUE,5,WiFi 6 (802.11ax),-,Z15YGR05,2022,Notebooks
Dell Latitude 3330 I51155G7 8GB 256GB SSD W10P (17VN7,993.97,13.3,33.8,1920x1080,16:09,1.28,1.57,306,209.8,Windows 10 Pro,i51155G7,8,Intel Iris Xe Graphics,-,256,SSD,-,54,65,MaxxAudio Pro,2,FALSE,TRUE,FALSE,TRUE,TRUE,-,WiFi 6 (802.11ax),5.40E+12,17VN7,-,Notebooks
Apple Macbook Air 13 M2 CHIP 8C/8C,1722.68,13,34.5,2560x1664,-,1.24,11.3,304.1,215,macOS Monterey,M2,8,Apple GPU,-,512,SSD,-,52.6,30,-,4,FALSE,TRUE,FALSE,TRUE,TRUE,5,WiFi 6 (802.11ax),-,Z15YGR02,2022,Notebooks
Microsoft Surface Laptop5 256GB (/i7/8GB,1564.08,15,38.1,2496x1664,3:02,1.56,14.7,340,244,Windows 11 Pro,i71265U,8,Intel Iris Xe Graphics,-,256,SSD,17,47.4,65,Dolby Atmos,-,TRUE,TRUE,FALSE,TRUE,TRUE,5.1,WiFi 6 (802.11ax),1.96E+11,RBZ00004,2022,Notebooks
GETAC S410G4 I31115G4 (NO CAM,1891.3,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,FALSE,FALSE,FALSE,FALSE,FALSE,-,-,-,SP1DZACMSDXX,-,Notebooks
Dell LATITUDE 7640 I71365U 32GB 1,2175.07,16,40.6,1920x1200,16:10,1.84,1.84,358,250.4,Windows 11 Pro,i71365U,32,Intel Iris Xe Graphics,-,1,SSD,-,57,65,-,4,FALSE,TRUE,FALSE,TRUE,TRUE,-,WiFi 6E (802.11ax),5.40E+12,91DHK,-,Notebooks
Acer Extensa 15 EX21531P5EQ schwarz (NX.EFTEG.009,449.18,15.6,39.6,1920x1080,16:09,1.94,19.9,363.4,250.5,Windows 10 Pro,N5030,4,Intel® UHD Graphics 605,-,128,SSD,6.5,37,45,-,2,FALSE,FALSE,TRUE,TRUE,TRUE,4.1,WiFi 5 (802.11ac),4.71E+12,NX.EFTEG.009,-,Notebooks
"Lenovo ThinkPad P16 G1 Intel Core i912950HX 40,64cm 16Zoll WQUXGA 32GB DDR4 1TB SSD RTX A4500 16GB W11P DG TopSeller",4284.27,16,40.6,3840x2400,16:10,2.95,30.2,364,266,Windows 11 Pro,Intel WM690,32,Intel® UHD Graphics,NVIDIA RTX A4500,1,SSD,-,94,230,Dolby Atmos,2,FALSE,TRUE,TRUE,TRUE,TRUE,5.1,WiFi 6E (802.11ax),1.97E+11,21D6003NGE,-,Notebooks
Acer B4B EX 15 EX21523R08A R3 W11P FHD,631.79,15.6,39.6,1920x1080,-,1.78,18.9,362.9,237.5,Windows 11 Pro,7320U,8,AMD Radeon 610M,-,256,SSD,-,42,45,-,2,FALSE,FALSE,TRUE,FALSE,FALSE,-,WiFi 6 (802.11ax),4.71E+12,NX.EH3EG.001,-,Notebooks
Apple Macbook Air 13 M2 CHIP 8C/10C 16GB RAM 512GB 35W silver,1964.24,13,34.5,2560x1664,-,1.24,11.3,304.1,215,macOS Monterey,M2,16,Apple GPU,-,512,SSD,-,52.6,35,-,4,FALSE,TRUE,FALSE,TRUE,TRUE,5,WiFi 6 (802.11ax),-,Z15XGR04,-,Notebooks
"Lenovo X1 Carbon G10 Intel Core i71255U WUXGA 16GB 512GB SSD UMA WWAN 5G W10P DG, schwarz",2244.48,14,35.6,1920x1200,16:10,1.12,15.4,315.6,222.5,Windows 11 Pro,Intel SoC,16,Intel Iris Xe Graphics,-,512,SSD,-,57,65,Dolby Atmos,4,FALSE,TRUE,FALSE,TRUE,TRUE,5.2,WiFi 6E (802.11ax),1.97E+11,21CB00B7GE,-,Notebooks
Microsoft Surface Laptop Studio Core i7/32GB/2TB/ GF RTX 3050 Ti Win10Pro Platinum,2916.95,14.4,36.6,2400x1600,3:02,1.82,18.9,323.3,228.3,Windows 10 Pro,i711370H,32,Intel Iris Xe Graphics,NVIDIA GeForce RTX 3050 Ti,2000,SSD,18,58,102,Dolby Atmos,4,TRUE,TRUE,FALSE,TRUE,TRUE,5.1,WiFi 6 (802.11ax),8.90E+11,AI500030,-,Notebooks
Apple Macbook Pro 14 M2 MAX 12C/30C 32GB grau,3866.79,14.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,FALSE,FALSE,FALSE,FALSE,FALSE,-,-,-,Z17GGR32,-,Notebooks
Dell Precision 5480 Core i7 13800H  32 GB RAM  1 TB SSD  Deutsch,3129.87,14,35.6,1920x1200,16:10,1.48,7.49,310.6,210.3,Windows 11 Pro,i713800H,32,Intel Iris Xe Graphics,NVIDIA RTX 2000,1,SSD,-,72,130,-,4,FALSE,TRUE,FALSE,TRUE,TRUE,-,WiFi 6E (802.11ax),5.40E+12,88K66,-,Notebooks
Apple MacBook Pro 16 M2 MAX 12C/38C 96GB RAM 2TB SSD  GREY,5779.78,16.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,FALSE,FALSE,FALSE,FALSE,FALSE,-,-,-,Z174GR33,-,Notebooks
Apple MacBook Pro M2 Max 32GB 1TB silber,3752.79,16,41.1,3456x2234,-,2.15,16.8,355.7,248.1,-,M2 Max,32,Apple GPU,-,1,SSD,-,100,140,-,6,FALSE,TRUE,FALSE,TRUE,TRUE,5.3,WiFi 6E (802.11ax),1.94E+11,MNWE3D/A,2023,Notebooks
Lenovo ThinkPad T14 G2 i71165G7 16/512GB SSD FHD W10P,1211.43,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,FALSE,FALSE,FALSE,FALSE,FALSE,-,-,1.97E+11,20W00125GE,-,Notebooks
Terra MOBILE 1716U i51235U W11,799,17.3,43.9,1920x1080,16:09,2.4,24.8,400,268,Windows 11 Home,i51235U,8,Intel Iris Xe Graphics,-,500,SSD,6,-,-,-,-,FALSE,TRUE,TRUE,TRUE,TRUE,5.2,WiFi 6 (802.11ax),4.04E+12,1220787,-,Notebooks
MSI Pulse 17 B13VGK068  Intel Core i7 13700H / 2.4 GHz  Win 11 Home  GeForce RTX 4070  16 GB RAM  1 TB SSD NVMe  43.9,2409.9,17.3,43.9,1920x1080,-,2.7,27.2,398,273,Windows 11 Home,i713700H,16,Intel Iris Xe Graphics,NVIDIA GeForce RTX 4070,1,SSD,-,90,240,-,2,FALSE,TRUE,TRUE,TRUE,TRUE,5.2,WiFi 6 (802.11ax),4.71E+12,0017L5068,-,Notebooks
APPLE MACBOOK AIR 15 M2 8C/10C/16C 16GB RAM 256GB,1911.97,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,FALSE,FALSE,FALSE,FALSE,FALSE,-,-,-,Z18RGR05,-,Notebooks
"Gigabyte AORUS 17X AXFD4DE694SH 17,3 i9 W11 240Hz",3489.99,17.3,43.9,2560x1440,-,2.8,21.8,396,293,Windows 11 Home,i913980HX,16,Intel® UHD Graphics,NVIDIA GeForce RTX 4090,1000,SSD,-,99,330,DTS:X Ultra,2,FALSE,TRUE,TRUE,TRUE,TRUE,5.2,WiFi 6E (802.11ax),4.72E+12,AORUS 17X AXFD4DE694SH,-,Notebooks
Microsoft Surface Laptop 4 i7 8GB 512GB/2496x1664/platinum W10P,1468.98,15,38.1,2496x1664,3:02,1.54,14.7,339.5,224,Windows 10 Pro,i71185G7,8,Intel Iris Xe Graphics,-,512,SSD,16.5,-,65,Dolby Atmos,2,TRUE,TRUE,FALSE,TRUE,TRUE,5,WiFi 6 (802.11ax),8.90E+11,5L100028,2021,Notebooks
Dell Latitude 3330 I51155G7 8GB 256GB SSD W10P,1097.17,13.3,33.8,1920x1080,16:09,1.37,1.64,306,209.8,Windows 10 Pro,i51155G7,8,Intel Iris Xe Graphics,-,256,SSD,-,54,65,MaxxAudio Pro,2,TRUE,TRUE,FALSE,TRUE,TRUE,-,WiFi 6 (802.11ax),5.40E+12,Y4MKK,-,Notebooks
Apple Macbook AIR M2 CHIP 8C/8C 24GB RAM 512GB 67W SPACE GREY,2100.13,13,34.5,2560x1664,-,1.24,11.3,304.1,215,macOS Monterey,M2,24,Apple GPU,-,512,SSD,-,52.6,67,-,4,FALSE,TRUE,FALSE,TRUE,TRUE,5,WiFi 6 (802.11ax),-,Z15SGR49,2022,Notebooks
Dell Precision 3470 i71260P FHD 32GB 1TB SSD Nvidia T550 IR Cam Mic 4 Cell WLAN Backlit Kb W10P/W11P,1672.29,14,35.6,1920x1080,16:09,1.49,2.1,321.4,212,Windows 10 Pro,i71260P,32,Intel Iris Xe Graphics,NVIDIA Quadro T550,1,SSD,-,64,130,MaxxAudio Pro,2,FALSE,TRUE,FALSE,TRUE,TRUE,-,WiFi 6E (802.11ax),5.40E+12,R9TP8,-,Notebooks
Apple Macbook Air 13 M2 CHIP 8C/10C,2204.67,13.6,34.5,2560x1664,-,1.24,11.3,304.1,215,macOS Monterey,M2,16,Apple GPU,-,1000,SSD,-,52.6,35,-,4,FALSE,TRUE,FALSE,TRUE,TRUE,5,WiFi 6 (802.11ax),-,Z15TGR05,-,Notebooks
MSI Modern C7M092 IPS FHD Ryzen7 7730U/16GB/1TB SSD W11H,997.99,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,FALSE,FALSE,FALSE,FALSE,FALSE,-,-,4.71E+12,0014JK092,-,Notebooks
PANASONIC TOUGHBOOK FZ55 I51145G7 VPRO (FZ55FZ0Q5B4,3322.87,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,FALSE,FALSE,FALSE,FALSE,FALSE,-,-,-,FZ55FZ0Q5B4,-,Notebooks
"Dell Latitude 14 3410, Core i510310U, 8GB RAM, 256GB SSD, FingerprintReader, 1920x1080 (HTXHD",725.87,14,35.6,1920x1080,16:09,1.61,18.4,326.5,226.4,Windows 10 Pro,i510310U,8,Intel® UHD Graphics,-,256,SSD,4,53,65,-,2,FALSE,TRUE,FALSE,TRUE,TRUE,-,WiFi 6 (802.11ax),5.40E+12,HTXHD,-,Notebooks
Apple Macbook Air 13 M2 CHIP 8C/8C 8GB RAM 1TB 30W STARLIGHT,1879.94,13,34.5,2560x1664,-,1.24,11.3,304.1,215,macOS Monterey,M2,8,Apple GPU,-,1000,SSD,-,52.6,30,-,4,FALSE,TRUE,FALSE,TRUE,TRUE,5,WiFi 6 (802.11ax),-,Z15YGR03,2022,Notebooks
Lenovo ThinkPad P16 G1 Intel Core i712800HX WQUXGA 32GB DDR4 1TB SSD RTX A2000 8GB W11P DG TopSeller,3168.65,16,40.6,3840x2400,16:10,2.95,30.2,364,266,Windows 11 Pro,Intel WM690,32,Intel® UHD Graphics,NVIDIA RTX A2000,1,SSD,-,94,170,Dolby Atmos,2,FALSE,TRUE,TRUE,TRUE,TRUE,5.1,WiFi 6E (802.11ax),1.97E+11,21D60017GE,-,Notebooks
FUJITSU CELSIUS H7613 I713850HX 2K 32GB 1TB SSD W11P RTX 2000,3212.69,16,40.6,2560x1600,16:10,2.53,26.4,370,264.5,Windows 11 Pro,i713850HX,32,Intel® UHD Graphics,NVIDIA RTX 2000,1,SSD,8,94.95,230,-,2,FALSE,TRUE,TRUE,TRUE,TRUE,5.2,WiFi 6E (802.11ax),4.07E+12,VFY:H7613W17CMDE,-,Notebooks
Lenovo V15 G3 IAP i51235U/8GB/512GBSSD/FHD/matt/W11Home,602.99,15.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,FALSE,FALSE,FALSE,FALSE,FALSE,-,-,1.97E+11,82TT004NGE,-,Notebooks
PANASONIC TOUGHBOOK FZ55 I51145G7 VPRO (FZ55FZ0QFB4,3255.85,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,FALSE,FALSE,FALSE,FALSE,FALSE,-,-,-,FZ55FZ0QFB4,-,Notebooks
Dell Precision 3470 Core i5 1250P  vPro Enterprise  16 GB RAM  512 GB SSD,1201.81,14,35.6,1920x1080,16:09,1.49,2.1,321.4,212,Windows 10 Pro,i51250P,16,Intel Iris Xe Graphics,NVIDIA T550,512,SSD,-,64,130,MaxxAudio Pro,2,FALSE,TRUE,FALSE,TRUE,TRUE,-,WiFi 6E (802.11ax),5.40E+12,PJ8CX,-,Notebooks
APPLE MacBook Air Z15W Apple M2 8C CPU/10C GPU/16C N.E. 8GB 512GB SSD 35W Dual USBC DE  Silber,1506.94,13.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,FALSE,FALSE,FALSE,FALSE,FALSE,-,-,4.07E+12,Z15WV2D/A,-,Notebooks
Apple Macbook PRO 16 M2 MAX 12C/30C 32GB RAM 1TB SSD  GREY,4096.77,16.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,FALSE,FALSE,FALSE,FALSE,FALSE,-,-,-,Z174GR12,-,Notebooks
Microsoft Surface Laptop 5 i7 8GB 256GB 2496x1664/Touch/platin W10P,1648.99,15,38.1,2496x1664,3:02,1.56,14.7,340,244,Windows 10 Pro,i71265U,8,Intel Iris Xe Graphics,-,256,SSD,17,47.4,65,Dolby Atmos,-,TRUE,TRUE,FALSE,TRUE,TRUE,5.1,WiFi 6 (802.11ax),1.96E+11,RC100005,2022,Notebooks
APPLE MACBOOK PRO 14 M2 PRO 12C/19C,3547.56,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,FALSE,FALSE,FALSE,FALSE,FALSE,-,-,-,Z17KGR26,-,Notebooks
Apple MacBook Pro 14 M2 PRO 10C/16C 32GB RAM 512GB SSD 96W  GREY,3009.58,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,FALSE,FALSE,FALSE,FALSE,FALSE,-,-,-,Z17GGR16,-,Notebooks
Apple MacBook Pro Z17H Apple M2 Max 12C CPU/30C GPU/16C N.E. 32GB 1TB SSD 96W USBC DE  Grau,3378.58,14.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,FALSE,FALSE,FALSE,FALSE,FALSE,-,-,4.07E+12,Z17HV1D/A,-,Notebooks
"Microsoft Surface Laptop 5  i7/32GB/1000GB W10P, schwarz",2627.94,15,38.1,2496x1664,3:02,1.56,14.7,340,244,Windows 10 Pro,i71265U,32,Intel Iris Xe Graphics,-,1,SSD,17,47.4,65,Dolby Atmos,-,TRUE,TRUE,FALSE,TRUE,TRUE,5.1,WiFi 6 (802.11ax),1.96E+11,RL800005,2022,Notebooks
Apple MacBook Pro TB Z16S Apple M2 8C CPU/10C GPU/16C N.E. 24GB 1TB SSD 67W USBC DE  Grau,2350.21,13.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,FALSE,FALSE,FALSE,FALSE,FALSE,-,-,4.07E+12,MNEJ3D/AZ08817071,-,Notebooks
Apple Macbook Pro M2 8C/10C 16GB RAM 512GB SSD  SILVER,2152.38,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,FALSE,FALSE,FALSE,FALSE,FALSE,-,-,-,Z16UGR04,-,Notebooks
Acer Notebook TravelMate Spin P6 TMP614RN52 Intel Core i51135G7  Galaxy Black,1692.07,14,35.6,1920x1200,16:10,1.15,16.8,312,226,Windows 11 Pro,i51135G7,16,Intel Iris Xe Graphics,-,512,SSD,-,56,65,-,2,TRUE,TRUE,FALSE,TRUE,TRUE,5,WiFi 6 (802.11ax),4.71E+12,NX.VTQEG.004,-,Notebooks
Lenovo ThinkPad X13 Yoga Gen 1 20SY  FlipDesign  Intel Core i7 10610U / 1.8 GHz  vPro  Win 10 Pro 64Bit  UHD Graphics,1328.99,13.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,FALSE,FALSE,FALSE,FALSE,FALSE,-,-,1.96E+11,20SYS6TP00?ABVERKAUF,-,Notebooks
Apple Macbook Air 13 M2 CHIP 8C/10C 16GB RAM 1TB 67W MIDNIGHT,2204.67,13,34.5,2560x1664,-,1.24,11.3,304.1,215,macOS Monterey,M2,16,Apple GPU,-,1,SSD,-,52.6,67,-,4,FALSE,TRUE,FALSE,TRUE,TRUE,5,WiFi 6 (802.11ax),-,Z160GR58,2022,Notebooks
MSI Summit E13 FlipEvo A12MT018 i71280P/16GB/1TB W11H,1898.99,13.4,34,1920x1200,16:10,1.35,19.9,300.2,222.2,Windows 11 Home,i71260P,16,Intel Iris Xe Graphics,-,1000,SSD,-,70,65,-,2,TRUE,TRUE,FALSE,TRUE,TRUE,5.2,WiFi 6E (802.11ax),4.72E+12,0013P3018,-,Notebooks
"MSI Raider GE78 HX 13VG (RTX 4070, GDDR6 8GB",3671.47,17.3,43.2,2560x1600,-,3.1,23,380,298,Windows 11 Home,Intel HM770,32,Intel® UHD Graphics,NVIDIA GeForce RTX 4070,2,SSD,-,99,280,-,2,FALSE,TRUE,TRUE,TRUE,TRUE,5.3,WiFi 6E (802.11ax),4.71E+12,0017S2034,-,Notebooks
Apple Macbook Air 13 M2 CHIP 8C/8C 24GB RAM 1TB 30W MIDNIGHT,2319.64,13,34.5,2560x1664,-,1.24,11.3,304.1,215,macOS Monterey,M2,24,Apple GPU,-,1,SSD,-,52.6,30,-,4,FALSE,TRUE,FALSE,TRUE,TRUE,5,WiFi 6 (802.11ax),-,Z160GR11,2022,Notebooks
Apple Macbook Air 13 M2 CHIP 8C/10C 16GB RAM 512GB 67W midnight,1964.24,13,34.5,2560x1664,-,1.24,11.3,304.1,215,macOS Monterey,M2,16,Apple GPU,-,512,SSD,-,52.6,67,-,4,FALSE,TRUE,FALSE,TRUE,TRUE,5,WiFi 6 (802.11ax),-,Z161GR13,2022,Notebooks
Microsoft Surface Laptop 5  i7/16GB/ 512GB *schwarz* W10P,1904.49,5,34.3,2256x1504,3:02,1.3,14.5,308,223,Windows 10 Pro,i71265U,16,Intel Iris Xe Graphics,-,512,SSD,18,47.4,65,-,-,TRUE,TRUE,FALSE,TRUE,TRUE,5.1,WiFi 6 (802.11ax),1.96E+11,RBI00030,2022,Notebooks
Lenovo TP E14 G4 R55625U 16GB,854.99,14,35.6,1920x1080,16:09,1.64,17.9,324,220.7,Windows 11 Pro,AMD SoC,16,AMD Radeon Graphics,-,512,SSD,15,57,65,Dolby Audio,2,FALSE,TRUE,FALSE,TRUE,TRUE,5.2,WiFi 6 (802.11ax),1.96E+11,21EB0040GE,-,Notebooks
"Fujitsu Celsius H780 i78750H 39,62cm 15,6Zoll FHD 16GB DDR4 512GB SSD PCIe NVidia Quadro P1000 W10P",738.46,15.6,39.6,1920x1080,16:09,2.7,31.9,380,258,Windows 10 Pro,i78750H,16,Intel® UHD Graphics 630,NVIDIA® Quadro® P1000,512,SSD,9,-,230,MaxxAudio,2,FALSE,FALSE,TRUE,TRUE,TRUE,5,WiFi 5 (802.11ac),4.07E+12,VFY:H7800M17AMDE,-,Notebooks
Corsair VOYAGER a1600  Advantage Edition Ryzen 9 6900HS  32 GB RAM  2 TB SSD  Deutsch,3960.99,16,40.6,2560x1600,-,2.4,19.9,356,286.7,Windows 11 Home,6900HS,32,AMD Radeon 680M,AMD Radeon RX 6800M,2000,SSD,-,99,230,Dolby Atmos,-,FALSE,TRUE,FALSE,TRUE,TRUE,5.2,WiFi 6E (802.11ax),8.40E+11,CN9000004DE,-,Notebooks
"Dell Notebook Latitude 7520  39.62 cm (15.6""",1786.09,15.6,39.6,1920x1080,16:09,1.53,1.75,357.7,229.8,Windows 10 Pro,i51145G7,16,Intel Iris Xe Graphics,-,512,SSD,-,63,65,-,4,FALSE,TRUE,FALSE,TRUE,TRUE,5.1,WiFi 6 (802.11ax),5.40E+12,R3NXR,-,Notebooks
"Samsung Galaxy Book2 Pro  Intel Core i7 16GB RAM, 512GB SSD, graphite",1338.99,15.6,39.6,1920x1080,-,1.11,11.7,355.4,225.8,Windows 11 Pro,i71260P,16,Intel Iris Xe Graphics,-,512,SSD,-,68,65,Dolby Atmos,2,FALSE,TRUE,TRUE,TRUE,TRUE,5.1,WiFi 6E (802.11ax),8.81E+12,NP950XEDKA2DE,-,Notebooks
"Lenovo ThinkPad P16 G1 16"" i712850Hx 2*16GB/1TB RTX A3000 W10P",3340.22,16,40.6,2560x1600,16:10,2.95,30.2,364,266,Windows 11 Pro,Intel WM690,32,Intel® UHD Graphics,NVIDIA RTX A3000,1,SSD,-,94,230,Dolby Atmos,2,FALSE,TRUE,TRUE,TRUE,TRUE,5.2,WiFi 6E (802.11ax),1.97E+11,21D6001FGE,-,Notebooks
Fujitsu LIFEBOOK U9312 FHD i71265U black 16GB 1TB SSD 5G P W11P,2310.18,13.3,33.8,1920x1080,-,-,15.5,307,197,Windows 11 Pro,i71265U,16,Intel Iris Xe Graphics,-,1,SSD,12.34,64,65,-,-,FALSE,TRUE,FALSE,TRUE,TRUE,5.2,WiFi 6E (802.11ax),4.07E+12,VFY:U9312MF7DMDE,-,Notebooks
Microsoft Surface Laptop 5 i5 16GB 256GB 2256x1504/Touch/black W10P,1640.1,13.5,34.3,2256x1504,3:02,1.3,14.5,308,223,Windows 10 Pro,i51245U,16,Intel Iris Xe Graphics,-,256,SSD,18,47.4,65,-,-,TRUE,TRUE,FALSE,TRUE,TRUE,5.1,WiFi 6 (802.11ax),1.96E+11,R7I00028,2022,Notebooks
"Dell Latitude 14 3410, Core i510310U, 8GB RAM, 512GB SSD, FingerprintReader, 1920x1080 (5H9F6",749.56,14,35.6,1920x1080,16:09,1.61,18.4,326.5,226.4,Windows 10 Pro,i510310U,8,Intel® UHD Graphics,-,512,SSD,4,53,65,-,2,FALSE,TRUE,FALSE,TRUE,TRUE,-,WiFi 6 (802.11ax),5.40E+12,5H9F6,-,Notebooks
Apple Macbook PRO 14 M2 PRO 10C/16C 16GB RAM 512GB SSD  SPACE GREY,2366.52,14.2,36.1,3024x1964,-,1.6,15.5,312.6,221.2,macOS Ventura,M2 Pro,16,Apple GPU,-,512,SSD,-,70,67,-,6,FALSE,TRUE,FALSE,TRUE,TRUE,5.3,WiFi 6 (802.11ax),1.94E+11,MPHE3D/A,2023,Notebooks
Apple Macbook PRO 16 M2 MAX 12C/38C 32GB RAM 1TB SSD  SPACE GREY,3789.6,16.2,41.1,3456x2234,-,2.15,16.8,355.7,248.1,macOS Ventura,M2 Max,32,Apple GPU,-,1,SSD,-,100,140,-,6,FALSE,TRUE,FALSE,TRUE,TRUE,5.3,WiFi 6E (802.11ax),1.94E+11,MNWA3D/A,2023,Notebooks
Lenovo ThinkPad P1 Gen5 Intel Core i712800H WQXGA 32GB DDR5 1TB SSD RTX A3000 12GB W10P DG,3917.04,16,40.6,3840x2400,16:10,1.81,17.7,359.5,253.8,Windows 11 Pro,Intel SoC,32,Intel Iris Xe Graphics,NVIDIA RTX A3000,1,SSD,-,90,230,Dolby Atmos,2,FALSE,TRUE,FALSE,TRUE,TRUE,5.2,WiFi 6E (802.11ax),1.96E+11,21DC000UGE,-,Notebooks
Lenovo ThinkPad L13 Yoga G2 i71185G7 16GB 256SSD FHD W11P,1005.09,13.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,FALSE,FALSE,FALSE,FALSE,FALSE,-,-,1.98E+11,20VLS42800,-,Notebooks
Microsoft Surface Laptop 5  i7/16GB/ 256GB *platinum* W10P,1783.88,15,38.1,2496x1664,3:02,1.56,14.7,340,244,Windows 10 Pro,i71265U,16,Intel Iris Xe Graphics,-,256,SSD,17,47.4,65,Dolby Atmos,-,TRUE,TRUE,FALSE,TRUE,TRUE,5.1,WiFi 6 (802.11ax),1.96E+11,RIA00005,2022,Notebooks
Dell LATITUDE 3140 N200 8GB,864.43,11.6,29.5,1366x768,16:09,1.42,21.4,300.9,204.9,Windows 11 Pro,N200,8,Intel® UHD Graphics,-,256,SSD,-,53,65,-,2,TRUE,FALSE,FALSE,TRUE,TRUE,-,WiFi 6 (802.11ax),5.40E+12,J90MY,-,Notebooks
Dell Precision 5680 Core i9 13900H  vPro Enterprise  32 GB RAM  1 TB SSD  Deutsch,5604.53,16,40.6,3840x2400,16:10,1.91,2.62,353.7,240.3,Windows 11 Pro,i913900H,32,Intel Iris Xe Graphics,NVIDIA RTX 3500,1,SSD,-,99.5,165,-,4,TRUE,TRUE,FALSE,TRUE,TRUE,-,WiFi 6E (802.11ax),5.40E+12,X2W33,-,Notebooks
